Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Year
8.0,RF,Brian Giles*,38.0,61.0,254.0,225.0,18.0,43.0,10.0,1.0,2.0,23.0,1.0,0.0,26.0,31.0,0.191,0.27699999999999997,0.271,0.5479999999999999,52.0,61.0,6.0,1.0,0.0,1.0,2.0,2009
1.0,C,Benito Santiago,25.0,100.0,382.0,344.0,42.0,93.0,8.0,5.0,11.0,53.0,5.0,5.0,27.0,55.0,0.27,0.32299999999999995,0.419,0.741,102.0,144.0,4.0,3.0,1.0,7.0,2.0,1990
2.0,1B,Jack Clark,34.0,115.0,442.0,334.0,59.0,89.0,12.0,1.0,25.0,62.0,4.0,3.0,104.0,91.0,0.266,0.441,0.5329999999999999,0.9740000000000001,167.0,178.0,12.0,2.0,0.0,2.0,11.0,1990
3.0,2B,Roberto Alomar#,22.0,147.0,646.0,586.0,80.0,168.0,27.0,5.0,6.0,60.0,24.0,7.0,48.0,72.0,0.287,0.34,0.381,0.721,98.0,223.0,16.0,2.0,5.0,5.0,1.0,1990
4.0,SS,Garry Templeton#,34.0,144.0,541.0,505.0,45.0,125.0,25.0,3.0,9.0,59.0,1.0,4.0,24.0,59.0,0.248,0.28,0.36200000000000004,0.642,75.0,183.0,17.0,0.0,8.0,4.0,7.0,1990
5.0,3B,Mike Pagliarulo*,30.0,128.0,446.0,398.0,29.0,101.0,23.0,2.0,7.0,38.0,1.0,3.0,39.0,66.0,0.254,0.322,0.374,0.696,91.0,149.0,12.0,3.0,2.0,4.0,3.0,1990
6.0,LF,Bip Roberts#,26.0,149.0,629.0,556.0,104.0,172.0,36.0,3.0,9.0,44.0,46.0,12.0,55.0,65.0,0.309,0.375,0.433,0.809,122.0,241.0,8.0,6.0,8.0,4.0,1.0,1990
7.0,CF,Joe Carter,30.0,162.0,697.0,634.0,79.0,147.0,27.0,1.0,24.0,115.0,22.0,6.0,48.0,93.0,0.23199999999999998,0.29,0.391,0.6809999999999999,85.0,248.0,12.0,7.0,0.0,8.0,18.0,1990
8.0,RF,Tony Gwynn*,30.0,141.0,629.0,573.0,79.0,177.0,29.0,10.0,4.0,72.0,17.0,8.0,44.0,23.0,0.309,0.35700000000000004,0.415,0.772,112.0,238.0,13.0,1.0,7.0,4.0,20.0,1990
1.0,C,John Flaherty,29.0,129.0,476.0,439.0,38.0,120.0,21.0,1.0,9.0,46.0,4.0,4.0,33.0,62.0,0.273,0.32299999999999995,0.387,0.71,91.0,170.0,11.0,0.0,2.0,2.0,7.0,1997
2.0,1B,Wally Joyner*,35.0,135.0,518.0,455.0,59.0,149.0,29.0,2.0,13.0,83.0,3.0,5.0,51.0,51.0,0.327,0.39,0.486,0.8759999999999999,135.0,221.0,14.0,2.0,0.0,10.0,5.0,1997
3.0,2B,Quilvio Veras#,26.0,145.0,631.0,539.0,74.0,143.0,23.0,1.0,3.0,45.0,33.0,12.0,72.0,84.0,0.265,0.35700000000000004,0.32799999999999996,0.685,87.0,177.0,9.0,7.0,9.0,4.0,0.0,1997
4.0,SS,Chris Gomez,26.0,150.0,589.0,522.0,62.0,132.0,19.0,2.0,5.0,54.0,5.0,8.0,53.0,114.0,0.253,0.326,0.326,0.652,77.0,170.0,16.0,5.0,3.0,3.0,1.0,1997
5.0,3B,Ken Caminiti#,34.0,137.0,576.0,486.0,92.0,141.0,28.0,0.0,26.0,90.0,11.0,2.0,80.0,118.0,0.29,0.389,0.508,0.897,141.0,247.0,12.0,3.0,0.0,7.0,9.0,1997
6.0,LF,Greg Vaughn,31.0,120.0,422.0,361.0,60.0,78.0,10.0,0.0,18.0,57.0,7.0,4.0,56.0,110.0,0.21600000000000003,0.322,0.39299999999999996,0.716,93.0,142.0,7.0,2.0,0.0,3.0,1.0,1997
7.0,CF,Steve Finley*,32.0,143.0,615.0,560.0,101.0,146.0,26.0,5.0,28.0,92.0,15.0,3.0,43.0,92.0,0.261,0.313,0.475,0.7879999999999999,110.0,266.0,10.0,3.0,2.0,7.0,2.0,1997
8.0,RF,Tony Gwynn*,37.0,149.0,651.0,592.0,97.0,220.0,49.0,2.0,17.0,119.0,12.0,5.0,43.0,28.0,0.37200000000000005,0.409,0.547,0.9570000000000001,156.0,324.0,12.0,3.0,1.0,12.0,12.0,1997
1.0,C,Fred Kendall,27.0,146.0,505.0,456.0,30.0,112.0,17.0,0.0,2.0,39.0,1.0,1.0,36.0,42.0,0.24600000000000002,0.302,0.29600000000000004,0.598,77.0,135.0,20.0,3.0,5.0,5.0,4.0,1976
2.0,1B,Mike Ivie,23.0,140.0,446.0,405.0,51.0,118.0,19.0,5.0,7.0,70.0,6.0,6.0,30.0,41.0,0.29100000000000004,0.345,0.415,0.759,123.0,168.0,10.0,5.0,2.0,4.0,8.0,1976
3.0,2B,Tito Fuentes#,32.0,135.0,559.0,520.0,48.0,137.0,18.0,0.0,2.0,36.0,5.0,3.0,18.0,38.0,0.263,0.287,0.31,0.597,76.0,161.0,12.0,1.0,16.0,4.0,0.0,1976
